sr,audio,classID,fold
0,LJ001-0001.wav,1,11
1,LJ001-0002.wav,1,11
2,LJ001-0003.wav,1,11
3,LJ001-0004.wav,1,11
4,LJ001-0005.wav,1,11
5,LJ001-0006.wav,1,11
6,LJ001-0007.wav,1,11
7,LJ001-0008.wav,1,11
8,LJ001-0009.wav,1,11
9,LJ001-0010.wav,1,11
10,LJ001-0011.wav,1,11
11,LJ001-0012.wav,1,11
12,LJ001-0013.wav,1,11
13,LJ001-0014.wav,1,11
14,LJ001-0015.wav,1,11
15,LJ001-0016.wav,1,11
16,LJ001-0017.wav,1,11
17,LJ001-0018.wav,1,11
18,LJ001-0019.wav,1,11
19,LJ001-0020.wav,1,11
20,LJ001-0021.wav,1,11
21,LJ001-0022.wav,1,11
22,LJ001-0023.wav,1,11
23,LJ001-0024.wav,1,11
24,LJ001-0025.wav,1,11
25,LJ001-0026.wav,1,11
26,LJ001-0027.wav,1,11
27,LJ001-0028.wav,1,11
28,LJ001-0029.wav,1,11
29,LJ001-0030.wav,1,11
30,LJ001-0031.wav,1,11
31,LJ001-0032.wav,1,11
32,LJ001-0033.wav,1,11
33,LJ001-0034.wav,1,11
34,LJ001-0035.wav,1,11
35,LJ001-0036.wav,1,11
36,LJ001-0037.wav,1,11
37,LJ001-0038.wav,1,11
38,LJ001-0039.wav,1,11
39,LJ001-0040.wav,1,11
40,LJ001-0041.wav,1,11
41,LJ001-0042.wav,1,11
42,LJ001-0043.wav,1,11
43,LJ001-0044.wav,1,11
44,LJ001-0045.wav,1,11
45,LJ001-0046.wav,1,11
46,LJ001-0047.wav,1,11
47,LJ001-0048.wav,1,11
48,LJ001-0049.wav,1,11
49,LJ001-0050.wav,1,11
50,LJ001-0051.wav,1,11
51,LJ001-0052.wav,1,11
52,LJ001-0053.wav,1,11
53,LJ001-0054.wav,1,11
54,LJ001-0055.wav,1,11
55,LJ001-0056.wav,1,11
56,LJ001-0057.wav,1,11
57,LJ001-0058.wav,1,11
58,LJ001-0059.wav,1,11
59,LJ001-0060.wav,1,11
60,LJ001-0061.wav,1,11
61,LJ001-0062.wav,1,11
62,LJ001-0063.wav,1,11
63,LJ001-0064.wav,1,11
64,LJ001-0065.wav,1,11
65,LJ001-0066.wav,1,11
66,LJ001-0067.wav,1,11
67,LJ001-0068.wav,1,11
68,LJ001-0069.wav,1,11
69,LJ001-0070.wav,1,11
70,LJ001-0071.wav,1,11
71,LJ001-0072.wav,1,11
72,LJ001-0073.wav,1,11
73,LJ001-0074.wav,1,11
74,LJ001-0075.wav,1,11
75,LJ001-0076.wav,1,11
76,LJ001-0077.wav,1,11
77,LJ001-0078.wav,1,11
78,LJ001-0079.wav,1,11
79,LJ001-0080.wav,1,11
80,LJ001-0081.wav,1,11
81,LJ001-0082.wav,1,11
82,LJ001-0083.wav,1,11
83,LJ001-0084.wav,1,11
84,LJ001-0085.wav,1,11
85,LJ001-0086.wav,1,11
86,LJ001-0087.wav,1,11
87,LJ001-0088.wav,1,11
88,LJ001-0089.wav,1,11
89,LJ001-0090.wav,1,11
90,LJ001-0091.wav,1,11
91,LJ001-0092.wav,1,11
92,LJ001-0093.wav,1,11
93,LJ001-0094.wav,1,11
94,LJ001-0095.wav,1,11
95,LJ001-0096.wav,1,11
96,LJ001-0097.wav,1,11
97,LJ001-0098.wav,1,11
98,LJ001-0099.wav,1,11
99,LJ001-0100.wav,1,11
100,LJ001-0101.wav,1,11
101,LJ001-0102.wav,1,11
102,LJ001-0103.wav,1,11
103,LJ001-0104.wav,1,11
104,LJ001-0105.wav,1,11
105,LJ001-0106.wav,1,11
106,LJ001-0107.wav,1,11
107,LJ001-0108.wav,1,11
108,LJ001-0109.wav,1,11
109,LJ001-0110.wav,1,11
110,LJ001-0111.wav,1,11
111,LJ001-0112.wav,1,11
112,LJ001-0113.wav,1,11
113,LJ001-0114.wav,1,11
114,LJ001-0115.wav,1,11
115,LJ001-0116.wav,1,11
116,LJ001-0117.wav,1,11
117,LJ001-0118.wav,1,11
